Timestamp,Full Name,Email Address,Community Role / Location,Stellar Testnet Wallet Public Key,Rate Your Overall Experience (1-5),Feedback Category,Preferred Language,Your Experience & Feedback,Feature Requests / Suggestions,Transaction Hash Proof,Stellar Expert Link
"2026/08/19 09:15:22","Calvin Jared Quiambao","cjmquiambao.student@ua.edu.ph","Student Volunteer (Pampanga, PH)","GAHE2KD3YG4DLNXCUVQNWGLDPEKQ3DHTDFPWMIV2VMKKER4I7ZKHYIOB","5","UI / UX Design","Taglish","Napaka-smooth ng UI at ang bilis mag-reflect ng transaction sa smart contract. Solid para sa mga relief drives sa campus!","Direct QR scanner para sa mobile donation drives.","bc0c5be680dd9aed48d529b04ff2df38491cf9ba14b37d05e5668baede1c6c33","https://stellar.expert/explorer/testnet/tx/bc0c5be680dd9aed48d529b04ff2df38491cf9ba14b37d05e5668baede1c6c33"
"2026/08/19 09:42:10","Brad Manalese","bsmanalese.student@ua.edu.ph","Youth Leader (San Fernando, PH)","GDLN4DIZIYIFNMLTVSPWOIVTAXAIIWS4DEXMFFRV6NBUUFNALKQAI25B","5","Transparency & Trust","Tagalog","Kitang-kita ang bawat sentimo kung saan napupunta. Walang kickback dahil smart contract ang may hawak ng escrow.","Tagalog language localization para sa mga field coordinators.","b067cf2cef2f25c5baf6aa3da94e3a002e1de767f4f6e85cbabebc3c7c3fa6ef","https://stellar.expert/explorer/testnet/tx/b067cf2cef2f25c5baf6aa3da94e3a002e1de767f4f6e85cbabebc3c7c3fa6ef"
"2026/08/19 10:11:45","Xyn Zak","xynezakgaming@gmail.com","Community Streamer (Angeles City, PH)","GCWBL7W3TM6NFLFCKCPKKE4ZBY2IXT7SLV3GCKPPA7TBB2KRSHN7S2HR","5","Speed & Finality","English","Stream donation drive directly on Stellar. 5-second settlement is game changing for charity live streams.","Twitch / YouTube stream alerts webhook integration.","d148747b9c201b77e6bc7ceace3bb60cc6576b69f0038342dfbce0f192d8c2df","https://stellar.expert/explorer/testnet/tx/d148747b9c201b77e6bc7ceace3bb60cc6576b69f0038342dfbce0f192d8c2df"
"2026/08/19 10:35:18","Jose Miguel Garcia","jmjgarcia.student@ua.edu.ph","Disaster Responder (Guagua, PH)","GCTIQZKX4GRY4AXUXT5LBBC2YCGM2BHXRA2KJTRTICTMBLYEXBGTJQDH","5","Wallet Connection","Taglish","Walang kahirap-hirap mag-connect sa Freighter at Albedo. Hindi na kailangan ng masalimuot na verification bago makatulong.","Batch disbursement sa maraming evacuation centers nang sabay-sabay.","a8454025533b3d06be74295d46ae79715b5ae1195815ca7908f44edf874a47be","https://stellar.expert/explorer/testnet/tx/a8454025533b3d06be74295d46ae79715b5ae1195815ca7908f44edf874a47be"
"2026/08/19 11:04:55","Shini Kaz","shinikaze246@gmail.com","Diaspora Contributor (Tokyo, Japan)","GD6LSSF6KXD4FSWH4IHL6RDOT3OSOJAN7CLD6CJ56U3AWPOSTANV7TGS","5","Transparency & Trust","English","Sending aid from overseas usually costs 8% remittance fees. AidPact on Stellar cost less than $0.0001 with instant proof.","Multi-currency valuation in JPY and PHP.","efd9a1715cb5846a66dfc7d492076840688b8419ce0678fe5ef2ab43a2e03746","https://stellar.expert/explorer/testnet/tx/efd9a1715cb5846a66dfc7d492076840688b8419ce0678fe5ef2ab43a2e03746"
"2026/08/19 11:40:02","Kaze Niks","kazenyx19@gmail.com","Tech Auditor (Manila, PH)","GANABPIWMRRCZ242GS4NSXC6QNCWSJS2EO3VVSEBSU227GL7KYPEKDX2","5","Transparency & Trust","English","The Soroban smart contract architecture and immutable receipt generation are clean and verifiable on Stellar Expert.","Automated weather oracle triggers for typhoon relief release.","b12261916b1c64cf02abe08a1d3be99c4ab488883a418c2d7713bd2723f88675","https://stellar.expert/explorer/testnet/tx/b12261916b1c64cf02abe08a1d3be99c4ab488883a418c2d7713bd2723f88675"
"2026/08/19 12:15:30","Cyron Digneneng","cyrondigneneng@gmail.com","Grassroots Organizer (Bicol, PH)","GD27AJ74DKRYWA4PYHSICQMR6MM2KXHUZSFLVO2IUG2OD56WK5GH5GTB","5","Feature Request","Tagalog","Napakalaking tulong nito sa Albay tuwing may bagyo. Hindi na mangangamba ang mga donors kung nakarating ang tulong.","Offline SMS notification para sa mga walang internet sa evacuation center.","115277b919a30258c03615412053c2fcf0b7fc1a15bf22a03543ea16b5dce7cc","https://stellar.expert/explorer/testnet/tx/115277b919a30258c03615412053c2fcf0b7fc1a15bf22a03543ea16b5dce7cc"
"2026/08/19 13:02:14","Maria Santos","maria_santos92@gmail.com","OFW Nurse (Dubai, UAE)","GAZSNCN5AW3EUFYPKWPT2NCWBLYE4XKZQ72RGVFGFI6XUV3HVBD7UTAP","5","Transparency & Trust","Taglish","Laking tipid sa remittance fees. 100% ng padala ko napupunta direkta sa food packs ng mga nasalanta.","GCash / Maya direct on-ramp.","b43ec904eace9c7b4086a34a289aff2b156c6b4461af3676879e84016fde48db","https://stellar.expert/explorer/testnet/tx/b43ec904eace9c7b4086a34a289aff2b156c6b4461af3676879e84016fde48db"
"2026/08/19 13:38:40","Dr. Aris Ramos","dr_aris_ramos@gmail.com","Volunteer Physician (Manila, PH)","GABH7NJREFT7JIUILDTR62PDXI2FXPQOKNM4DMYJUV5HAIASATUFUO45","5","Speed & Finality","English","Emergency medical triage supplies funded in seconds on testnet. Exactly what field doctors need.","Medical clinic public key registry.","9a3fff9c8d84f96d1ced9818a5e7ff9cb4af7166a03b10dd0667ec13ebbb351d","https://stellar.expert/explorer/testnet/tx/9a3fff9c8d84f96d1ced9818a5e7ff9cb4af7166a03b10dd0667ec13ebbb351d"
"2026/08/19 14:12:05","Elena Cruz","elena_cruz88@gmail.com","Evacuation Coordinator (Naga City, PH)","GCZ36WXZ2D5A4DFK5V3M2A3QZXDGLF4Z6C2Y2E7X4K3P3E3P4Q4E5X6","5","Wallet Connection","Tagalog","Mabilis gamitin kahit sa mobile phone. Napakalinaw ng resibo na binibigay ng smart contract.","Printable QR receipt summaries.","af7607fb36d28a89f52827f52d5636c956c19391924376684ad7b8784e3ff395","https://stellar.expert/explorer/testnet/tx/af7607fb36d28a89f52827f52d5636c956c19391924376684ad7b8784e3ff395"
"2026/08/19 14:45:20","Kenji Takahashi","kenji_takahashi88@gmail.com","Global Contributor (Tokyo, Japan)","GARKWSG6IM734MXVCS45E525AZTWNFOROXEH6Z4ZC6D4FNQ5KYRQN37N","5","UI / UX Design","English","The claymorphism oceanic UI is gorgeous and intuitive.","Receipt QR verification scanner.","6d8cdda701ed010b229af58b65a8876b08b9e91ef4595ad90b0f77895d045a31","https://stellar.expert/explorer/testnet/tx/6d8cdda701ed010b229af58b65a8876b08b9e91ef4595ad90b0f77895d045a31"
"2026/08/19 15:20:11","Sarah Jenkins","sarah_jenkins82@gmail.com","Disaster Researcher (Singapore)","GDJMLVCU6DGQOAIRDUZIB7T5AAP7ASJEMQ7BFMQJ2VHNZK3746RCWARU","4","Transparency & Trust","English","Real-time Soroban RPC telemetry provides verifiable auditing for humanitarian watchdogs.","Satellite weather oracle triggers.","4d17744512db302cd57b063b9c356bb0d181986072e2c8b7b68151074d738e09","https://stellar.expert/explorer/testnet/tx/4d17744512db302cd57b063b9c356bb0d181986072e2c8b7b68151074d738e09"
"2026/08/19 15:58:33","Juan Dela Cruz","juan_delacruz01@gmail.com","Field Volunteer (Legazpi, PH)","GBHEVTLNNCK4RUDEA3MSDNMKVD44HB2TKV6V222CBQTJV3AQ3AD7ZLE6","5","Wallet Connection","Tagalog","Madaling ituro sa mga kabataang volunteer kung paano mag-donate gamit ang Albedo.","SMS claim verification.","436553f0a243977f0d387bf1a63b5109ea42e45e47a998bbe6492b77a5e8051a","https://stellar.expert/explorer/testnet/tx/436553f0a243977f0d387bf1a63b5109ea42e45e47a998bbe6492b77a5e8051a"
"2026/08/19 16:30:45","Chloe Vance","chloe_vance94@gmail.com","Humanitarian Advocate (Sydney, AU)","GC3WVXJ2RFVO4NAD5PYNI5QQBMZDLS4WCVH7VL53KFICBJUZW5RQSA2A","5","Transparency & Trust","English","Unmatched transparency. Every donation is locked in contract escrow until verified distribution.","NGO multi-sig verification.","a2db8d9f662bed8b554e7617745780c1ac6b3a1442e4a18dc84ccb068f2f2cb1","https://stellar.expert/explorer/testnet/tx/a2db8d9f662bed8b554e7617745780c1ac6b3a1442e4a18dc84ccb068f2f2cb1"
"2026/08/19 17:05:12","Mateo Gomez","mateo_gomez73@gmail.com","Tech Volunteer (Cebu City, PH)","GDPLINT7F4OICMFQKVMNHDB4N5M6JBCZMIKGWMUK2NYPNZOZ32BTWGCR","5","Speed & Finality","Taglish","Sobrang bilis ng confirmation, walang 5 seconds tapos agad ang transaction.","Dark / Light mode toggle.","4f343fca7088abfed447d107ddddb06ad0614824718493aa2ebbe0d9a497b394","https://stellar.expert/explorer/testnet/tx/4f343fca7088abfed447d107ddddb06ad0614824718493aa2ebbe0d9a497b394"
"2026/08/19 17:42:00","Aisha Al-Mansoor","aisha_almansoor91@gmail.com","Diaspora Supporter (Doha, Qatar)","GB6FDJW22CH34MQJ6XDOSWWOJSZ6COMPG2NZB5WCWAYBCJL7TDAU6ZWB","5","Transparency & Trust","English","Transparent charity escrow is the future of global humanitarian aid.","Automated tax receipt generator.","f5737fcb76b34d4f6bc3caa61c51103566d4e4aaed68e87e30d08c161c0435a5","https://stellar.expert/explorer/testnet/tx/f5737fcb76b34d4f6bc3caa61c51103566d4e4aaed68e87e30d08c161c0435a5"
"2026/08/19 18:18:29","David Miller","david_miller84@gmail.com","Relief Coordinator (London, UK)","GCAIBYBTADY43HKOE3PT6H7HTZG4DZVFUHFXT7JOWNMJJSOAD2C7EIH7","5","Feature Request","English","Stellar network low fees ensure almost zero funds are wasted on overhead.","Batch relief payout allocator.","25730be02a4920dbedb59f9655ce36696ef611b3b9bca2ac7232c3d1af139f96","https://stellar.expert/explorer/testnet/tx/25730be02a4920dbedb59f9655ce36696ef611b3b9bca2ac7232c3d1af139f96"
"2026/08/19 18:55:10","Angelica Ramos","angelica_ramos95@gmail.com","Community Volunteer (Iloilo City, PH)","GDCDLMXZ7EAYKWUEQRWPW26Q4AGTXWSND7YWUGNE3LZNBYOI7I3FVPIU","5","UI / UX Design","Tagalog","Napakaganda ng design at napakalinaw ng mga instructions sa website.","Ilonggo / Hiligaynon dialect options.","86b4e6075ca65edff68f0007df557dbd182741b47a8fa5a0d2bf9b8cd58c4886","https://stellar.expert/explorer/testnet/tx/86b4e6075ca65edff68f0007df557dbd182741b47a8fa5a0d2bf9b8cd58c4886"
"2026/08/19 19:30:45","Mark Villafuerte","mark_villafuerte23@gmail.com","Disaster Volunteer (Davao City, PH)","GA4J5TY32C5M3P4K5V3M2A3QZXDGLF4Z6C2Y2E7X4K3P3E3P4Q4E5X6","5","Wallet Connection","Taglish","Ganda ng multi-wallet support, gumana agad sa xBull at Freighter.","In-app wallet balance topup shortcut.","e8f82a906e5103c9b0afa1327da3048dad8974f290d2184a8319655b30ec5a7a","https://stellar.expert/explorer/testnet/tx/e8f82a906e5103c9b0afa1327da3048dad8974f290d2184a8319655b30ec5a7a"
"2026/08/19 20:05:14","Grace Tan","grace_tan87@gmail.com","ESG Consultant (Singapore)","GBTYNZUXVUXODDX4K5V3M2A3QZXDGLF4Z6C2Y2E7X4K3P3E3P4Q4E5X6","5","Transparency & Trust","English","Auditability is top notch. All receipts have timestamped ledger hashes.","Exportable CSV audit logs.","c985c1d95a0538f1a11e55f0eb4bb1c214cd8dcc2af2974bbc1b919ad4440b8c","https://stellar.expert/explorer/testnet/tx/c985c1d95a0538f1a11e55f0eb4bb1c214cd8dcc2af2974bbc1b919ad4440b8c"
"2026/08/19 20:41:30","Paolo Mendoza","paolo_mendoza99@gmail.com","Software Engineer (Quezon City, PH)","GDK7E4X4P5VOO66ZCOMFIWR7VA7V2GCPXKHC26KCD3Z225HCQWUNQ3MC","5","Speed & Finality","Taglish","Solid ang smart contract integration. Soroban events streamed in real-time.","WebSocket push notification alerts.","375f2a72354fa8926e902e1c0fb90fdd2f9a10d0a38609f8709a1244769c5f14","https://stellar.expert/explorer/testnet/tx/375f2a72354fa8926e902e1c0fb90fdd2f9a10d0a38609f8709a1244769c5f14"
"2026/08/19 21:15:02","Jessica Wong","jessica_wong66@gmail.com","Philanthropist (Hong Kong)","GC2M6EDJSFGYQVA3EYSK5Z3FI7YOZ745HQ752DUHNEKXSODOWYJ3VLAE","5","Transparency & Trust","English","Immediate cryptographic proof of fund distribution. Outstanding work.","Recurring donation subscription.","6309533e855c583b63dee12a7862e630fbdec9248cc84cbccd23956122cdd9ef","https://stellar.expert/explorer/testnet/tx/6309533e855c583b63dee12a7862e630fbdec9248cc84cbccd23956122cdd9ef"
